Distritos;Percentil;Total
0105501 Valdegovía/Gaubea distrito 01;Percentil 90 de consumo eléctrico en kwh;3.937
0105801 Legutio distrito 01;Percentil 10 de consumo eléctrico en kwh;628
0105801 Legutio distrito 01;Percentil 25 de consumo eléctrico en kwh;1.172
0105801 Legutio distrito 01;Percentil 50 de consumo eléctrico en kwh;1.908
0105801 Legutio distrito 01;Percentil 75 de consumo eléctrico en kwh;2.890
0105801 Legutio distrito 01;Percentil 90 de consumo eléctrico en kwh;4.412
0105901 Vitoria-Gasteiz distrito 01 *;Percentil 10 de consumo eléctrico en kwh;711
0105901 Vitoria-Gasteiz distrito 01 *;Percentil 25 de consumo eléctrico en kwh;1.095
0105901 Vitoria-Gasteiz distrito 01 *;Percentil 50 de consumo eléctrico en kwh;1.645
0105901 Vitoria-Gasteiz distrito 01 *;Percentil 75 de consumo eléctrico en kwh;2.418
0105901 Vitoria-Gasteiz distrito 01 *;Percentil 90 de consumo eléctrico en kwh;3.473
0105902 Vitoria-Gasteiz distrito 02 *;Percentil 10 de consumo eléctrico en kwh;770
0105902 Vitoria-Gasteiz distrito 02 *;Percentil 25 de consumo eléctrico en kwh;1.155
0105902 Vitoria-Gasteiz distrito 02 *;Percentil 50 de consumo eléctrico en kwh;1.677
0105902 Vitoria-Gasteiz distrito 02 *;Percentil 75 de consumo eléctrico en kwh;2.329
0105902 Vitoria-Gasteiz distrito 02 *;Percentil 90 de consumo eléctrico en kwh;3.116
0105903 Vitoria-Gasteiz distrito 03 *;Percentil 10 de consumo eléctrico en kwh;728
0105903 Vitoria-Gasteiz distrito 03 *;Percentil 25 de consumo eléctrico en kwh;1.082
0105903 Vitoria-Gasteiz distrito 03 *;Percentil 50 de consumo eléctrico en kwh;1.565
0105903 Vitoria-Gasteiz distrito 03 *;Percentil 75 de consumo eléctrico en kwh;2.156
0105903 Vitoria-Gasteiz distrito 03 *;Percentil 90 de consumo eléctrico en kwh;2.863
0105904 Vitoria-Gasteiz distrito 04 *;Percentil 10 de consumo eléctrico en kwh;692
0105904 Vitoria-Gasteiz distrito 04 *;Percentil 25 de consumo eléctrico en kwh;1.052
0105904 Vitoria-Gasteiz distrito 04 *;Percentil 50 de consumo eléctrico en kwh;1.554
0105904 Vitoria-Gasteiz distrito 04 *;Percentil 75 de consumo eléctrico en kwh;2.190
0105904 Vitoria-Gasteiz distrito 04 *;Percentil 90 de consumo eléctrico en kwh;2.925
0105905 Vitoria-Gasteiz distrito 05 *;Percentil 10 de consumo eléctrico en kwh;812
0105905 Vitoria-Gasteiz distrito 05 *;Percentil 25 de consumo eléctrico en kwh;1.231
0105905 Vitoria-Gasteiz distrito 05 *;Percentil 50 de consumo eléctrico en kwh;1.802
0105905 Vitoria-Gasteiz distrito 05 *;Percentil 75 de consumo eléctrico en kwh;2.443
0105905 Vitoria-Gasteiz distrito 05 *;Percentil 90 de consumo eléctrico en kwh;3.128
0105906 Vitoria-Gasteiz distrito 06 *;Percentil 10 de consumo eléctrico en kwh;567
0105906 Vitoria-Gasteiz distrito 06 *;Percentil 25 de consumo eléctrico en kwh;1.069
0105906 Vitoria-Gasteiz distrito 06 *;Percentil 50 de consumo eléctrico en kwh;2.216
0105906 Vitoria-Gasteiz distrito 06 *;Percentil 75 de consumo eléctrico en kwh;3.504
0105906 Vitoria-Gasteiz distrito 06 *;Percentil 90 de consumo eléctrico en kwh;5.063
0106301 Zuia distrito 01;Percentil 10 de consumo eléctrico en kwh;761
