Distritos;Percentil;Total
2804001 Ciempozuelos distrito 01;Percentil 25 de consumo eléctrico en kwh;1.980
2804001 Ciempozuelos distrito 01;Percentil 50 de consumo eléctrico en kwh;3.180
2804001 Ciempozuelos distrito 01;Percentil 75 de consumo eléctrico en kwh;5.334
2804001 Ciempozuelos distrito 01;Percentil 90 de consumo eléctrico en kwh;8.972
2804002 Ciempozuelos distrito 02;Percentil 10 de consumo eléctrico en kwh;1.152
2804002 Ciempozuelos distrito 02;Percentil 25 de consumo eléctrico en kwh;1.914
2804002 Ciempozuelos distrito 02;Percentil 50 de consumo eléctrico en kwh;2.938
2804002 Ciempozuelos distrito 02;Percentil 75 de consumo eléctrico en kwh;4.476
2804002 Ciempozuelos distrito 02;Percentil 90 de consumo eléctrico en kwh;7.212
2804003 Ciempozuelos distrito 03;Percentil 10 de consumo eléctrico en kwh;1.116
2804003 Ciempozuelos distrito 03;Percentil 25 de consumo eléctrico en kwh;1.833
2804003 Ciempozuelos distrito 03;Percentil 50 de consumo eléctrico en kwh;2.873
2804003 Ciempozuelos distrito 03;Percentil 75 de consumo eléctrico en kwh;4.438
2804003 Ciempozuelos distrito 03;Percentil 90 de consumo eléctrico en kwh;7.314
2804101 Cobeña distrito 01 *;Percentil 10 de consumo eléctrico en kwh;1.240
2804101 Cobeña distrito 01 *;Percentil 25 de consumo eléctrico en kwh;2.077
2804101 Cobeña distrito 01 *;Percentil 50 de consumo eléctrico en kwh;3.217
2804101 Cobeña distrito 01 *;Percentil 75 de consumo eléctrico en kwh;4.685
2804101 Cobeña distrito 01 *;Percentil 90 de consumo eléctrico en kwh;6.749
2804201 ColmenardelArroyo distrito 01;Percentil 10 de consumo eléctrico en kwh;744
2804201 ColmenardelArroyo distrito 01;Percentil 25 de consumo eléctrico en kwh;1.396
2804201 ColmenardelArroyo distrito 01;Percentil 50 de consumo eléctrico en kwh;2.436
2804201 ColmenardelArroyo distrito 01;Percentil 75 de consumo eléctrico en kwh;3.929
2804201 ColmenardelArroyo distrito 01;Percentil 90 de consumo eléctrico en kwh;5.854
2804301 ColmenardeOreja distrito 01;Percentil 10 de consumo eléctrico en kwh;754
2804301 ColmenardeOreja distrito 01;Percentil 25 de consumo eléctrico en kwh;1.668
2804301 ColmenardeOreja distrito 01;Percentil 50 de consumo eléctrico en kwh;3.239
2804301 ColmenardeOreja distrito 01;Percentil 75 de consumo eléctrico en kwh;5.142
2804301 ColmenardeOreja distrito 01;Percentil 90 de consumo eléctrico en kwh;7.714
2804302 ColmenardeOreja distrito 02;Percentil 10 de consumo eléctrico en kwh;648
2804302 ColmenardeOreja distrito 02;Percentil 25 de consumo eléctrico en kwh;1.536
2804302 ColmenardeOreja distrito 02;Percentil 50 de consumo eléctrico en kwh;3.143
2804302 ColmenardeOreja distrito 02;Percentil 75 de consumo eléctrico en kwh;5.160
2804302 ColmenardeOreja distrito 02;Percentil 90 de consumo eléctrico en kwh;8.087
2804401 Colmenarejo distrito 01;Percentil 10 de consumo eléctrico en kwh;877
2804401 Colmenarejo distrito 01;Percentil 25 de consumo eléctrico en kwh;1.543
2804401 Colmenarejo distrito 01;Percentil 50 de consumo eléctrico en kwh;2.532
2804401 Colmenarejo distrito 01;Percentil 75 de consumo eléctrico en kwh;3.858
2804401 Colmenarejo distrito 01;Percentil 90 de consumo eléctrico en kwh;5.751
2804501 ColmenarViejo distrito 01 *;Percentil 10 de consumo eléctrico en kwh;927
2804501 ColmenarViejo distrito 01 *;Percentil 25 de consumo eléctrico en kwh;1.557
2804501 ColmenarViejo distrito 01 *;Percentil 50 de consumo eléctrico en kwh;2.386
2804501 ColmenarViejo distrito 01 *;Percentil 75 de consumo eléctrico en kwh;3.557
2804501 ColmenarViejo distrito 01 *;Percentil 90 de consumo eléctrico en kwh;5.320
2804601 ColladoMediano distrito 01;Percentil 10 de consumo eléctrico en kwh;705
2804601 ColladoMediano distrito 01;Percentil 25 de consumo eléctrico en kwh;1.358
2804601 ColladoMediano distrito 01;Percentil 50 de consumo eléctrico en kwh;2.391
2804601 ColladoMediano distrito 01;Percentil 75 de consumo eléctrico en kwh;3.775
2804601 ColladoMediano distrito 01;Percentil 90 de consumo eléctrico en kwh;5.548
2804701 ColladoVillalba distrito 01 *;Percentil 10 de consumo eléctrico en kwh;798
2804701 ColladoVillalba distrito 01 *;Percentil 25 de consumo eléctrico en kwh;1.367
2804701 ColladoVillalba distrito 01 *;Percentil 50 de consumo eléctrico en kwh;2.127
2804701 ColladoVillalba distrito 01 *;Percentil 75 de consumo eléctrico en kwh;3.127
2804701 ColladoVillalba distrito 01 *;Percentil 90 de consumo eléctrico en kwh;4.593
2804901 Coslada distrito 01;Percentil 10 de consumo eléctrico en kwh;1.185
2804901 Coslada distrito 01;Percentil 25 de consumo eléctrico en kwh;1.765
2804901 Coslada distrito 01;Percentil 50 de consumo eléctrico en kwh;2.520
2804901 Coslada distrito 01;Percentil 75 de consumo eléctrico en kwh;3.567
2804901 Coslada distrito 01;Percentil 90 de consumo eléctrico en kwh;5.148
2804902 Coslada distrito 02;Percentil 10 de consumo eléctrico en kwh;1.194
2804902 Coslada distrito 02;Percentil 25 de consumo eléctrico en kwh;1.775
2804902 Coslada distrito 02;Percentil 50 de consumo eléctrico en kwh;2.575
2804902 Coslada distrito 02;Percentil 75 de consumo eléctrico en kwh;3.732
2804902 Coslada distrito 02;Percentil 90 de consumo eléctrico en kwh;5.664
2804903 Coslada distrito 03;Percentil 10 de consumo eléctrico en kwh;1.228
2804903 Coslada distrito 03;Percentil 25 de consumo eléctrico en kwh;1.808
2804903 Coslada distrito 03;Percentil 50 de consumo eléctrico en kwh;2.536
2804903 Coslada distrito 03;Percentil 75 de consumo eléctrico en kwh;3.511
2804903 Coslada distrito 03;Percentil 90 de consumo eléctrico en kwh;4.896
2804904 Coslada distrito 04;Percentil 10 de consumo eléctrico en kwh;804
2804904 Coslada distrito 04;Percentil 25 de consumo eléctrico en kwh;1.247
2804904 Coslada distrito 04;Percentil 50 de consumo eléctrico en kwh;1.880
2804904 Coslada distrito 04;Percentil 75 de consumo eléctrico en kwh;3.192
2804904 Coslada distrito 04;Percentil 90 de consumo eléctrico en kwh;5.482
2805001 CubasdelaSagra distrito 01;Percentil 10 de consumo eléctrico en kwh;1.224
2805001 CubasdelaSagra distrito 01;Percentil 25 de consumo eléctrico en kwh;2.204
2805001 CubasdelaSagra distrito 01;Percentil 50 de consumo eléctrico en kwh;3.394
2805001 CubasdelaSagra distrito 01;Percentil 75 de consumo eléctrico en kwh;4.722
2805001 CubasdelaSagra distrito 01;Percentil 90 de consumo eléctrico en kwh;6.314
2805101 Chapinería distrito 01 *;Percentil 10 de consumo eléctrico en kwh;743
2805101 Chapinería distrito 01 *;Percentil 25 de consumo eléctrico en kwh;1.477
2805101 Chapinería distrito 01 *;Percentil 50 de consumo eléctrico en kwh;2.559
2805101 Chapinería distrito 01 *;Percentil 75 de consumo eléctrico en kwh;3.991
2805101 Chapinería distrito 01 *;Percentil 90 de consumo eléctrico en kwh;5.906
2805201 Chinchón distrito 01;Percentil 10 de consumo eléctrico en kwh;643
2805201 Chinchón distrito 01;Percentil 25 de consumo eléctrico en kwh;1.320
2805201 Chinchón distrito 01;Percentil 50 de consumo eléctrico en kwh;2.489
2805201 Chinchón distrito 01;Percentil 75 de consumo eléctrico en kwh;4.308
2805201 Chinchón distrito 01;Percentil 90 de consumo eléctrico en kwh;7.213
2805301 DaganzodeArriba distrito 01 *;Percentil 10 de consumo eléctrico en kwh;1.234
2805301 DaganzodeArriba distrito 01 *;Percentil 25 de consumo eléctrico en kwh;2.016
2805301 DaganzodeArriba distrito 01 *;Percentil 50 de consumo eléctrico en kwh;2.961
2805301 DaganzodeArriba distrito 01 *;Percentil 75 de consumo eléctrico en kwh;4.127
2805301 DaganzodeArriba distrito 01 *;Percentil 90 de consumo eléctrico en kwh;5.629
2805401 Escorial(El) distrito 01;Percentil 10 de consumo eléctrico en kwh;733
2805401 Escorial(El) distrito 01;Percentil 25 de consumo eléctrico en kwh;1.403
2805401 Escorial(El) distrito 01;Percentil 50 de consumo eléctrico en kwh;2.385
2805401 Escorial(El) distrito 01;Percentil 75 de consumo eléctrico en kwh;4.247
2805401 Escorial(El) distrito 01;Percentil 90 de consumo eléctrico en kwh;7.164
2805402 Escorial(El) distrito 02;Percentil 10 de consumo eléctrico en kwh;623
2805402 Escorial(El) distrito 02;Percentil 25 de consumo eléctrico en kwh;1.279
2805402 Escorial(El) distrito 02;Percentil 50 de consumo eléctrico en kwh;2.326
2805402 Escorial(El) distrito 02;Percentil 75 de consumo eléctrico en kwh;3.844
2805402 Escorial(El) distrito 02;Percentil 90 de consumo eléctrico en kwh;6.409
2805501 Estremera distrito 01;Percentil 10 de consumo eléctrico en kwh;561
2805501 Estremera distrito 01;Percentil 25 de consumo eléctrico en kwh;1.076
2805501 Estremera distrito 01;Percentil 50 de consumo eléctrico en kwh;1.927
2805501 Estremera distrito 01;Percentil 75 de consumo eléctrico en kwh;3.332
2805501 Estremera distrito 01;Percentil 90 de consumo eléctrico en kwh;5.276
2805601 FresnedillasdelaOliva distrito 01;Percentil 10 de consumo eléctrico en kwh;670
2805601 FresnedillasdelaOliva distrito 01;Percentil 25 de consumo eléctrico en kwh;1.199
2805601 FresnedillasdelaOliva distrito 01;Percentil 50 de consumo eléctrico en kwh;2.174
2805601 FresnedillasdelaOliva distrito 01;Percentil 75 de consumo eléctrico en kwh;3.654
2805601 FresnedillasdelaOliva distrito 01;Percentil 90 de consumo eléctrico en kwh;5.445
2805701 FresnodeTorote distrito 01;Percentil 10 de consumo eléctrico en kwh;905
2805701 FresnodeTorote distrito 01;Percentil 25 de consumo eléctrico en kwh;1.685
2805701 FresnodeTorote distrito 01;Percentil 50 de consumo eléctrico en kwh;2.888
2805701 FresnodeTorote distrito 01;Percentil 75 de consumo eléctrico en kwh;4.646
2805701 FresnodeTorote distrito 01;Percentil 90 de consumo eléctrico en kwh;6.510
2805801 Fuenlabrada distrito 01 *;Percentil 10 de consumo eléctrico en kwh;1.005
2805801 Fuenlabrada distrito 01 *;Percentil 25 de consumo eléctrico en kwh;1.517
2805801 Fuenlabrada distrito 01 *;Percentil 50 de consumo eléctrico en kwh;2.135
2805801 Fuenlabrada distrito 01 *;Percentil 75 de consumo eléctrico en kwh;2.932
2805801 Fuenlabrada distrito 01 *;Percentil 90 de consumo eléctrico en kwh;3.976
2805802 Fuenlabrada distrito 02 *;Percentil 10 de consumo eléctrico en kwh;961
2805802 Fuenlabrada distrito 02 *;Percentil 25 de consumo eléctrico en kwh;1.496
2805802 Fuenlabrada distrito 02 *;Percentil 50 de consumo eléctrico en kwh;2.164
2805802 Fuenlabrada distrito 02 *;Percentil 75 de consumo eléctrico en kwh;3.017
2805802 Fuenlabrada distrito 02 *;Percentil 90 de consumo eléctrico en kwh;4.326
2805803 Fuenlabrada distrito 03 *;Percentil 10 de consumo eléctrico en kwh;992
2805803 Fuenlabrada distrito 03 *;Percentil 25 de consumo eléctrico en kwh;1.517
2805803 Fuenlabrada distrito 03 *;Percentil 50 de consumo eléctrico en kwh;2.224
2805803 Fuenlabrada distrito 03 *;Percentil 75 de consumo eléctrico en kwh;3.086
2805803 Fuenlabrada distrito 03 *;Percentil 90 de consumo eléctrico en kwh;4.279
2805804 Fuenlabrada distrito 04 *;Percentil 10 de consumo eléctrico en kwh;1.049
2805804 Fuenlabrada distrito 04 *;Percentil 25 de consumo eléctrico en kwh;1.584
2805804 Fuenlabrada distrito 04 *;Percentil 50 de consumo eléctrico en kwh;2.295
2805804 Fuenlabrada distrito 04 *;Percentil 75 de consumo eléctrico en kwh;3.194
2805804 Fuenlabrada distrito 04 *;Percentil 90 de consumo eléctrico en kwh;4.407
2805805 Fuenlabrada distrito 05 *;Percentil 10 de consumo eléctrico en kwh;1.073
2805805 Fuenlabrada distrito 05 *;Percentil 25 de consumo eléctrico en kwh;1.625
2805805 Fuenlabrada distrito 05 *;Percentil 50 de consumo eléctrico en kwh;2.365
2805805 Fuenlabrada distrito 05 *;Percentil 75 de consumo eléctrico en kwh;3.383
2805805 Fuenlabrada distrito 05 *;Percentil 90 de consumo eléctrico en kwh;5.025
2805806 Fuenlabrada distrito 06 *;Percentil 10 de consumo eléctrico en kwh;1.115
2805806 Fuenlabrada distrito 06 *;Percentil 25 de consumo eléctrico en kwh;1.653
2805806 Fuenlabrada distrito 06 *;Percentil 50 de consumo eléctrico en kwh;2.306
2805806 Fuenlabrada distrito 06 *;Percentil 75 de consumo eléctrico en kwh;3.088
2805806 Fuenlabrada distrito 06 *;Percentil 90 de consumo eléctrico en kwh;4.079
2805807 Fuenlabrada distrito 07 *;Percentil 10 de consumo eléctrico en kwh;1.033
2805807 Fuenlabrada distrito 07 *;Percentil 25 de consumo eléctrico en kwh;1.554
2805807 Fuenlabrada distrito 07 *;Percentil 50 de consumo eléctrico en kwh;2.207
2805807 Fuenlabrada distrito 07 *;Percentil 75 de consumo eléctrico en kwh;3.077
2805807 Fuenlabrada distrito 07 *;Percentil 90 de consumo eléctrico en kwh;4.375
2805808 Fuenlabrada distrito 08 *;Percentil 10 de consumo eléctrico en kwh;1.075
2805808 Fuenlabrada distrito 08 *;Percentil 25 de consumo eléctrico en kwh;1.571
2805808 Fuenlabrada distrito 08 *;Percentil 50 de consumo eléctrico en kwh;2.230
2805808 Fuenlabrada distrito 08 *;Percentil 75 de consumo eléctrico en kwh;3.044
2805808 Fuenlabrada distrito 08 *;Percentil 90 de consumo eléctrico en kwh;4.193
2805809 Fuenlabrada distrito 09 *;Percentil 10 de consumo eléctrico en kwh;1.171
2805809 Fuenlabrada distrito 09 *;Percentil 25 de consumo eléctrico en kwh;1.740
2805809 Fuenlabrada distrito 09 *;Percentil 50 de consumo eléctrico en kwh;2.431
2805809 Fuenlabrada distrito 09 *;Percentil 75 de consumo eléctrico en kwh;3.144
2805809 Fuenlabrada distrito 09 *;Percentil 90 de consumo eléctrico en kwh;4.009
2805901 FuenteelSazdeJarama distrito 01 *;Percentil 10 de consumo eléctrico en kwh;1.009
2805901 FuenteelSazdeJarama distrito 01 *;Percentil 25 de consumo eléctrico en kwh;1.830
2805901 FuenteelSazdeJarama distrito 01 *;Percentil 50 de consumo eléctrico en kwh;3.114
2805901 FuenteelSazdeJarama distrito 01 *;Percentil 75 de consumo eléctrico en kwh;4.856
2805901 FuenteelSazdeJarama distrito 01 *;Percentil 90 de consumo eléctrico en kwh;7.228
2806001 FuentidueñadeTajo distrito 01;Percentil 10 de consumo eléctrico en kwh;600
2806001 FuentidueñadeTajo distrito 01;Percentil 25 de consumo eléctrico en kwh;1.179
2806001 FuentidueñadeTajo distrito 01;Percentil 50 de consumo eléctrico en kwh;2.295
2806001 FuentidueñadeTajo distrito 01;Percentil 75 de consumo eléctrico en kwh;3.818
2806001 FuentidueñadeTajo distrito 01;Percentil 90 de consumo eléctrico en kwh;5.652
2806101 Galapagar distrito 01;Percentil 10 de consumo eléctrico en kwh;903
2806101 Galapagar distrito 01;Percentil 25 de consumo eléctrico en kwh;1.556
2806101 Galapagar distrito 01;Percentil 50 de consumo eléctrico en kwh;2.499
2806101 Galapagar distrito 01;Percentil 75 de consumo eléctrico en kwh;3.839
2806101 Galapagar distrito 01;Percentil 90 de consumo eléctrico en kwh;5.799
2806501 Getafe distrito 01 *;Percentil 10 de consumo eléctrico en kwh;886
2806501 Getafe distrito 01 *;Percentil 25 de consumo eléctrico en kwh;1.475
2806501 Getafe distrito 01 *;Percentil 50 de consumo eléctrico en kwh;2.237
2806501 Getafe distrito 01 *;Percentil 75 de consumo eléctrico en kwh;3.331
2806501 Getafe distrito 01 *;Percentil 90 de consumo eléctrico en kwh;4.881
2806502 Getafe distrito 02 *;Percentil 10 de consumo eléctrico en kwh;957
2806502 Getafe distrito 02 *;Percentil 25 de consumo eléctrico en kwh;1.510
2806502 Getafe distrito 02 *;Percentil 50 de consumo eléctrico en kwh;2.294
2806502 Getafe distrito 02 *;Percentil 75 de consumo eléctrico en kwh;3.323
2806502 Getafe distrito 02 *;Percentil 90 de consumo eléctrico en kwh;4.640
2806503 Getafe distrito 03 *;Percentil 10 de consumo eléctrico en kwh;991
2806503 Getafe distrito 03 *;Percentil 25 de consumo eléctrico en kwh;1.545
2806503 Getafe distrito 03 *;Percentil 50 de consumo eléctrico en kwh;2.296
2806503 Getafe distrito 03 *;Percentil 75 de consumo eléctrico en kwh;3.247
2806503 Getafe distrito 03 *;Percentil 90 de consumo eléctrico en kwh;4.418
2806504 Getafe distrito 04 *;Percentil 10 de consumo eléctrico en kwh;885
2806504 Getafe distrito 04 *;Percentil 25 de consumo eléctrico en kwh;1.424
2806504 Getafe distrito 04 *;Percentil 50 de consumo eléctrico en kwh;2.151
2806504 Getafe distrito 04 *;Percentil 75 de consumo eléctrico en kwh;3.118
2806504 Getafe distrito 04 *;Percentil 90 de consumo eléctrico en kwh;4.553
2806601 Griñón distrito 01 *;Percentil 10 de consumo eléctrico en kwh;1.125
2806601 Griñón distrito 01 *;Percentil 25 de consumo eléctrico en kwh;1.939
2806601 Griñón distrito 01 *;Percentil 50 de consumo eléctrico en kwh;3.100
2806601 Griñón distrito 01 *;Percentil 75 de consumo eléctrico en kwh;4.726
2806601 Griñón distrito 01 *;Percentil 90 de consumo eléctrico en kwh;6.648
2806701 GuadalixdelaSierra distrito 01;Percentil 10 de consumo eléctrico en kwh;671
2806701 GuadalixdelaSierra distrito 01;Percentil 25 de consumo eléctrico en kwh;1.296
2806701 GuadalixdelaSierra distrito 01;Percentil 50 de consumo eléctrico en kwh;2.296
2806701 GuadalixdelaSierra distrito 01;Percentil 75 de consumo eléctrico en kwh;3.555
2806701 GuadalixdelaSierra distrito 01;Percentil 90 de consumo eléctrico en kwh;5.424
2806801 Guadarrama distrito 01 *;Percentil 10 de consumo eléctrico en kwh;524
2806801 Guadarrama distrito 01 *;Percentil 25 de consumo eléctrico en kwh;1.018
2806801 Guadarrama distrito 01 *;Percentil 50 de consumo eléctrico en kwh;1.986
2806801 Guadarrama distrito 01 *;Percentil 75 de consumo eléctrico en kwh;3.273
2806801 Guadarrama distrito 01 *;Percentil 90 de consumo eléctrico en kwh;5.228
2807201 HoyodeManzanares distrito 01;Percentil 10 de consumo eléctrico en kwh;671
2807201 HoyodeManzanares distrito 01;Percentil 25 de consumo eléctrico en kwh;1.341
2807201 HoyodeManzanares distrito 01;Percentil 50 de consumo eléctrico en kwh;2.287
2807201 HoyodeManzanares distrito 01;Percentil 75 de consumo eléctrico en kwh;3.645
2807201 HoyodeManzanares distrito 01;Percentil 90 de consumo eléctrico en kwh;5.764
2807301 HumanesdeMadrid distrito 01 *;Percentil 10 de consumo eléctrico en kwh;982
2807301 HumanesdeMadrid distrito 01 *;Percentil 25 de consumo eléctrico en kwh;1.594
2807301 HumanesdeMadrid distrito 01 *;Percentil 50 de consumo eléctrico en kwh;2.386
2807301 HumanesdeMadrid distrito 01 *;Percentil 75 de consumo eléctrico en kwh;3.384
2807301 HumanesdeMadrid distrito 01 *;Percentil 90 de consumo eléctrico en kwh;4.714
2807401 Leganés distrito 01 *;Percentil 10 de consumo eléctrico en kwh;934
2807401 Leganés distrito 01 *;Percentil 25 de consumo eléctrico en kwh;1.403
2807401 Leganés distrito 01 *;Percentil 50 de consumo eléctrico en kwh;2.077
2807401 Leganés distrito 01 *;Percentil 75 de consumo eléctrico en kwh;3.049
2807401 Leganés distrito 01 *;Percentil 90 de consumo eléctrico en kwh;4.493
2807402 Leganés distrito 02 *;Percentil 10 de consumo eléctrico en kwh;852
2807402 Leganés distrito 02 *;Percentil 25 de consumo eléctrico en kwh;1.305
2807402 Leganés distrito 02 *;Percentil 50 de consumo eléctrico en kwh;1.968
2807402 Leganés distrito 02 *;Percentil 75 de consumo eléctrico en kwh;2.923
2807402 Leganés distrito 02 *;Percentil 90 de consumo eléctrico en kwh;4.272
2807403 Leganés distrito 03 *;Percentil 10 de consumo eléctrico en kwh;931
2807403 Leganés distrito 03 *;Percentil 25 de consumo eléctrico en kwh;1.435
2807403 Leganés distrito 03 *;Percentil 50 de consumo eléctrico en kwh;2.114
2807403 Leganés distrito 03 *;Percentil 75 de consumo eléctrico en kwh;3.040
2807403 Leganés distrito 03 *;Percentil 90 de consumo eléctrico en kwh;4.191
2807404 Leganés distrito 04 *;Percentil 10 de consumo eléctrico en kwh;881
2807404 Leganés distrito 04 *;Percentil 25 de consumo eléctrico en kwh;1.303
2807404 Leganés distrito 04 *;Percentil 50 de consumo eléctrico en kwh;1.875
2807404 Leganés distrito 04 *;Percentil 75 de consumo eléctrico en kwh;2.586
2807404 Leganés distrito 04 *;Percentil 90 de consumo eléctrico en kwh;3.489
2807405 Leganés distrito 05 *;Percentil 10 de consumo eléctrico en kwh;1.100
2807405 Leganés distrito 05 *;Percentil 25 de consumo eléctrico en kwh;1.655
2807405 Leganés distrito 05 *;Percentil 50 de consumo eléctrico en kwh;2.390
2807405 Leganés distrito 05 *;Percentil 75 de consumo eléctrico en kwh;3.277
2807405 Leganés distrito 05 *;Percentil 90 de consumo eléctrico en kwh;4.365
2807406 Leganés distrito 06 *;Percentil 10 de consumo eléctrico en kwh;888
2807406 Leganés distrito 06 *;Percentil 25 de consumo eléctrico en kwh;1.424
2807406 Leganés distrito 06 *;Percentil 50 de consumo eléctrico en kwh;2.169
2807406 Leganés distrito 06 *;Percentil 75 de consumo eléctrico en kwh;3.191
2807406 Leganés distrito 06 *;Percentil 90 de consumo eléctrico en kwh;4.700
2807407 Leganés distrito 07 *;Percentil 10 de consumo eléctrico en kwh;1.212
2807407 Leganés distrito 07 *;Percentil 25 de consumo eléctrico en kwh;1.880
2807407 Leganés distrito 07 *;Percentil 50 de consumo eléctrico en kwh;2.683
2807407 Leganés distrito 07 *;Percentil 75 de consumo eléctrico en kwh;3.776
2807407 Leganés distrito 07 *;Percentil 90 de consumo eléctrico en kwh;5.256
2807501 Loeches distrito 01;Percentil 10 de consumo eléctrico en kwh;1.236
2807501 Loeches distrito 01;Percentil 25 de consumo eléctrico en kwh;2.143
2807501 Loeches distrito 01;Percentil 50 de consumo eléctrico en kwh;3.305
2807501 Loeches distrito 01;Percentil 75 de consumo eléctrico en kwh;5.193
2807501 Loeches distrito 01;Percentil 90 de consumo eléctrico en kwh;8.553
2807901 Madrid distrito 01;Percentil 10 de consumo eléctrico en kwh;794
2807901 Madrid distrito 01;Percentil 25 de consumo eléctrico en kwh;1.311
2807901 Madrid distrito 01;Percentil 50 de consumo eléctrico en kwh;2.167
2807901 Madrid distrito 01;Percentil 75 de consumo eléctrico en kwh;3.600
2807901 Madrid distrito 01;Percentil 90 de consumo eléctrico en kwh;5.916
2807902 Madrid distrito 02;Percentil 10 de consumo eléctrico en kwh;886
2807902 Madrid distrito 02;Percentil 25 de consumo eléctrico en kwh;1.368
2807902 Madrid distrito 02;Percentil 50 de consumo eléctrico en kwh;2.085
2807902 Madrid distrito 02;Percentil 75 de consumo eléctrico en kwh;3.084
2807902 Madrid distrito 02;Percentil 90 de consumo eléctrico en kwh;4.536
2807903 Madrid distrito 03;Percentil 10 de consumo eléctrico en kwh;926
2807903 Madrid distrito 03;Percentil 25 de consumo eléctrico en kwh;1.443
2807903 Madrid distrito 03;Percentil 50 de consumo eléctrico en kwh;2.197
2807903 Madrid distrito 03;Percentil 75 de consumo eléctrico en kwh;3.288
2807903 Madrid distrito 03;Percentil 90 de consumo eléctrico en kwh;4.843
2807904 Madrid distrito 04;Percentil 10 de consumo eléctrico en kwh;792
2807904 Madrid distrito 04;Percentil 25 de consumo eléctrico en kwh;1.289
2807904 Madrid distrito 04;Percentil 50 de consumo eléctrico en kwh;2.085
2807904 Madrid distrito 04;Percentil 75 de consumo eléctrico en kwh;3.308
2807904 Madrid distrito 04;Percentil 90 de consumo eléctrico en kwh;5.135
2807905 Madrid distrito 05;Percentil 10 de consumo eléctrico en kwh;888
2807905 Madrid distrito 05;Percentil 25 de consumo eléctrico en kwh;1.413
2807905 Madrid distrito 05;Percentil 50 de consumo eléctrico en kwh;2.235
2807905 Madrid distrito 05;Percentil 75 de consumo eléctrico en kwh;3.538
2807905 Madrid distrito 05;Percentil 90 de consumo eléctrico en kwh;5.583
2807906 Madrid distrito 06;Percentil 10 de consumo eléctrico en kwh;759
2807906 Madrid distrito 06;Percentil 25 de consumo eléctrico en kwh;1.222
2807906 Madrid distrito 06;Percentil 50 de consumo eléctrico en kwh;1.921
2807906 Madrid distrito 06;Percentil 75 de consumo eléctrico en kwh;2.999
2807906 Madrid distrito 06;Percentil 90 de consumo eléctrico en kwh;4.615
2807907 Madrid distrito 07;Percentil 10 de consumo eléctrico en kwh;782
2807907 Madrid distrito 07;Percentil 25 de consumo eléctrico en kwh;1.242
2807907 Madrid distrito 07;Percentil 50 de consumo eléctrico en kwh;1.962
2807907 Madrid distrito 07;Percentil 75 de consumo eléctrico en kwh;3.076
2807907 Madrid distrito 07;Percentil 90 de consumo eléctrico en kwh;4.664
2807908 Madrid distrito 08;Percentil 10 de consumo eléctrico en kwh;909
2807908 Madrid distrito 08;Percentil 25 de consumo eléctrico en kwh;1.403
2807908 Madrid distrito 08;Percentil 50 de consumo eléctrico en kwh;2.110
2807908 Madrid distrito 08;Percentil 75 de consumo eléctrico en kwh;3.042
2807908 Madrid distrito 08;Percentil 90 de consumo eléctrico en kwh;4.289
2807909 Madrid distrito 09;Percentil 10 de consumo eléctrico en kwh;864
2807909 Madrid distrito 09;Percentil 25 de consumo eléctrico en kwh;1.378
2807909 Madrid distrito 09;Percentil 50 de consumo eléctrico en kwh;2.198
2807909 Madrid distrito 09;Percentil 75 de consumo eléctrico en kwh;3.495
2807909 Madrid distrito 09;Percentil 90 de consumo eléctrico en kwh;5.599
2807910 Madrid distrito 10;Percentil 10 de consumo eléctrico en kwh;837
2807910 Madrid distrito 10;Percentil 25 de consumo eléctrico en kwh;1.295
2807910 Madrid distrito 10;Percentil 50 de consumo eléctrico en kwh;1.949
2807910 Madrid distrito 10;Percentil 75 de consumo eléctrico en kwh;2.844
2807910 Madrid distrito 10;Percentil 90 de consumo eléctrico en kwh;4.164
2807911 Madrid distrito 11;Percentil 10 de consumo eléctrico en kwh;833
2807911 Madrid distrito 11;Percentil 25 de consumo eléctrico en kwh;1.331
2807911 Madrid distrito 11;Percentil 50 de consumo eléctrico en kwh;2.039
2807911 Madrid distrito 11;Percentil 75 de consumo eléctrico en kwh;3.014
2807911 Madrid distrito 11;Percentil 90 de consumo eléctrico en kwh;4.422
2807912 Madrid distrito 12;Percentil 10 de consumo eléctrico en kwh;903
2807912 Madrid distrito 12;Percentil 25 de consumo eléctrico en kwh;1.432
2807912 Madrid distrito 12;Percentil 50 de consumo eléctrico en kwh;2.196
2807912 Madrid distrito 12;Percentil 75 de consumo eléctrico en kwh;3.263
2807912 Madrid distrito 12;Percentil 90 de consumo eléctrico en kwh;4.793
2807913 Madrid distrito 13;Percentil 10 de consumo eléctrico en kwh;975
2807913 Madrid distrito 13;Percentil 25 de consumo eléctrico en kwh;1.549
2807913 Madrid distrito 13;Percentil 50 de consumo eléctrico en kwh;2.379
2807913 Madrid distrito 13;Percentil 75 de consumo eléctrico en kwh;3.660
2807913 Madrid distrito 13;Percentil 90 de consumo eléctrico en kwh;5.940
2807914 Madrid distrito 14;Percentil 10 de consumo eléctrico en kwh;960
2807914 Madrid distrito 14;Percentil 25 de consumo eléctrico en kwh;1.428
2807914 Madrid distrito 14;Percentil 50 de consumo eléctrico en kwh;2.109
2807914 Madrid distrito 14;Percentil 75 de consumo eléctrico en kwh;3.041
2807914 Madrid distrito 14;Percentil 90 de consumo eléctrico en kwh;4.466
2807915 Madrid distrito 15;Percentil 10 de consumo eléctrico en kwh;960
