Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Municipios;Consumo eléctrico;Total
Total Nacional;01 Andalucía;14 Córdoba;14007 Baena;Viviendas totales;9.842
Total Nacional;01 Andalucía;14 Córdoba;14008 Belalcázar;Viviendas totales;2.617
Total Nacional;01 Andalucía;14 Córdoba;14009 Belmez;Viviendas totales;2.156
Total Nacional;01 Andalucía;14 Córdoba;14010 Benamejí;Viviendas totales;2.691
Total Nacional;01 Andalucía;14 Córdoba;14012 Bujalance;Viviendas totales;3.509
Total Nacional;01 Andalucía;14 Córdoba;14013 Cabra;Viviendas totales;10.928
Total Nacional;01 Andalucía;14 Córdoba;14014 Cañete de las Torres;Viviendas totales;1.734
Total Nacional;01 Andalucía;14 Córdoba;14015 Carcabuey;Viviendas totales;1.716
Total Nacional;01 Andalucía;14 Córdoba;14016 Cardeña;Viviendas totales;1.629
Total Nacional;01 Andalucía;14 Córdoba;14017 Carlota, La;Viviendas totales;7.327
Total Nacional;01 Andalucía;14 Córdoba;14018 Carpio, El;Viviendas totales;2.334
Total Nacional;01 Andalucía;14 Córdoba;14019 Castro del Río;Viviendas totales;3.748
Total Nacional;01 Andalucía;14 Córdoba;14021 Córdoba;Viviendas totales;155.400
Total Nacional;01 Andalucía;14 Córdoba;14022 Doña Mencía;Viviendas totales;2.302
Total Nacional;01 Andalucía;14 Córdoba;14023 Dos Torres;Viviendas totales;1.616
Total Nacional;01 Andalucía;14 Córdoba;14024 Encinas Reales;Viviendas totales;1.327
Total Nacional;01 Andalucía;14 Córdoba;14025 Espejo;Viviendas totales;1.829
Total Nacional;01 Andalucía;14 Córdoba;14026 Espiel;Viviendas totales;1.393
Total Nacional;01 Andalucía;14 Córdoba;14027 Fernán-Núñez;Viviendas totales;5.132
Total Nacional;01 Andalucía;14 Córdoba;14029 Fuente Obejuna;Viviendas totales;3.804
Total Nacional;01 Andalucía;14 Córdoba;14030 Fuente Palmera;Viviendas totales;5.012
Total Nacional;01 Andalucía;14 Córdoba;14033 Guadalcázar;Viviendas totales;833
Total Nacional;01 Andalucía;14 Córdoba;14035 Hinojosa del Duque;Viviendas totales;4.973
Total Nacional;01 Andalucía;14 Córdoba;14036 Hornachuelos;Viviendas totales;2.836
Total Nacional;01 Andalucía;14 Córdoba;14037 Iznájar;Viviendas totales;3.059
Total Nacional;01 Andalucía;14 Córdoba;14038 Lucena;Viviendas totales;21.141
Total Nacional;01 Andalucía;14 Córdoba;14039 Luque;Viviendas totales;2.110
Total Nacional;01 Andalucía;14 Córdoba;14040 Montalbán de Córdoba;Viviendas totales;2.139
Total Nacional;01 Andalucía;14 Córdoba;14041 Montemayor;Viviendas totales;2.140
Total Nacional;01 Andalucía;14 Córdoba;14042 Montilla;Viviendas totales;12.033
