Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Municipios;Consumo eléctrico;Total
Total Nacional;09 Cataluña;08 Barcelona;08054 Castellbisbal;Viviendas totales;5.121
Total Nacional;09 Cataluña;08 Barcelona;08056 Castelldefels;Viviendas totales;28.708
Total Nacional;09 Cataluña;08 Barcelona;08058 Castellet i la Gornal;Viviendas totales;1.693
Total Nacional;09 Cataluña;08 Barcelona;08061 Castellgalí;Viviendas totales;1.139
Total Nacional;09 Cataluña;08 Barcelona;08062 Castellnou de Bages;Viviendas totales;682
Total Nacional;09 Cataluña;08 Barcelona;08064 Castellterçol;Viviendas totales;1.607
Total Nacional;09 Cataluña;08 Barcelona;08065 Castellví de la Marca;Viviendas totales;826
Total Nacional;09 Cataluña;08 Barcelona;08066 Castellví de Rosanes;Viviendas totales;877
Total Nacional;09 Cataluña;08 Barcelona;08067 Centelles;Viviendas totales;3.701
Total Nacional;09 Cataluña;08 Barcelona;08068 Cervelló;Viviendas totales;4.048
Total Nacional;09 Cataluña;08 Barcelona;08069 Collbató;Viviendas totales;1.971
Total Nacional;09 Cataluña;08 Barcelona;08072 Corbera de Llobregat;Viviendas totales;6.784
Total Nacional;09 Cataluña;08 Barcelona;08073 Cornellà de Llobregat;Viviendas totales;37.034
Total Nacional;09 Cataluña;08 Barcelona;08074 Cubelles;Viviendas totales;10.859
Total Nacional;09 Cataluña;08 Barcelona;08075 Dosrius;Viviendas totales;2.722
Total Nacional;09 Cataluña;08 Barcelona;08076 Esparreguera;Viviendas totales;9.824
Total Nacional;09 Cataluña;08 Barcelona;08077 Esplugues de Llobregat;Viviendas totales;19.420
Total Nacional;09 Cataluña;08 Barcelona;08082 Fogars de la Selva;Viviendas totales;944
Total Nacional;09 Cataluña;08 Barcelona;08083 Folgueroles;Viviendas totales;941
Total Nacional;09 Cataluña;08 Barcelona;08084 Fonollosa;Viviendas totales;802
Total Nacional;09 Cataluña;08 Barcelona;08085 Font-rubí;Viviendas totales;788
Total Nacional;09 Cataluña;08 Barcelona;08086 Franqueses del Vallès, Les;Viviendas totales;7.985
Total Nacional;09 Cataluña;08 Barcelona;08088 Garriga, La;Viviendas totales;7.138
Total Nacional;09 Cataluña;08 Barcelona;08089 Gavà;Viviendas totales;20.359
Total Nacional;09 Cataluña;08 Barcelona;08091 Gelida;Viviendas totales;3.863
Total Nacional;09 Cataluña;08 Barcelona;08092 Gironella;Viviendas totales;2.628
Total Nacional;09 Cataluña;08 Barcelona;08094 Granada, La;Viviendas totales;1.013
Total Nacional;09 Cataluña;08 Barcelona;08096 Granollers;Viviendas totales;26.298
Total Nacional;09 Cataluña;08 Barcelona;08097 Gualba;Viviendas totales;811
Total Nacional;09 Cataluña;08 Barcelona;08098 Sant Salvador de Guardiola;Viviendas totales;1.607
Total Nacional;09 Cataluña;08 Barcelona;08100 Gurb;Viviendas totales;907
Total Nacional;09 Cataluña;08 Barcelona;08101 Hospitalet de Llobregat, L';Viviendas totales;110.488
Total Nacional;09 Cataluña;08 Barcelona;08102 Igualada;Viviendas totales;18.257
Total Nacional;09 Cataluña;08 Barcelona;08105 Llagosta, La;Viviendas totales;5.309
Total Nacional;09 Cataluña;08 Barcelona;08106 Llinars del Vallès;Viviendas totales;4.321
Total Nacional;09 Cataluña;08 Barcelona;08107 Lliçà d'Amunt;Viviendas totales;6.644
Total Nacional;09 Cataluña;08 Barcelona;08108 Lliçà de Vall;Viviendas totales;2.680
Total Nacional;09 Cataluña;08 Barcelona;08110 Malgrat de Mar;Viviendas totales;10.160
Total Nacional;09 Cataluña;08 Barcelona;08112 Manlleu;Viviendas totales;8.887
Total Nacional;09 Cataluña;08 Barcelona;08113 Manresa;Viviendas totales;40.136
Total Nacional;09 Cataluña;08 Barcelona;08114 Martorell;Viviendas totales;10.685
Total Nacional;09 Cataluña;08 Barcelona;08115 Martorelles;Viviendas totales;2.057
Total Nacional;09 Cataluña;08 Barcelona;08117 Masies de Voltregà, Les;Viviendas totales;1.398
Total Nacional;09 Cataluña;08 Barcelona;08118 Masnou, El;Viviendas totales;10.410
Total Nacional;09 Cataluña;08 Barcelona;08119 Masquefa;Viviendas totales;4.452
Total Nacional;09 Cataluña;08 Barcelona;08120 Matadepera;Viviendas totales;3.433
Total Nacional;09 Cataluña;08 Barcelona;08121 Mataró;Viviendas totales;52.996
Total Nacional;09 Cataluña;08 Barcelona;08122 Mediona;Viviendas totales;1.917
Total Nacional;09 Cataluña;08 Barcelona;08123 Molins de Rei;Viviendas totales;11.400
Total Nacional;09 Cataluña;08 Barcelona;08124 Mollet del Vallès;Viviendas totales;20.857
Total Nacional;09 Cataluña;08 Barcelona;08125 Montcada i Reixac;Viviendas totales;15.304
Total Nacional;09 Cataluña;08 Barcelona;08126 Montgat;Viviendas totales;5.276
Total Nacional;09 Cataluña;08 Barcelona;08127 Monistrol de Montserrat;Viviendas totales;1.605
Total Nacional;09 Cataluña;08 Barcelona;08131 Montesquiu;Viviendas totales;659
Total Nacional;09 Cataluña;08 Barcelona;08134 Figaró-Montmany;Viviendas totales;596
Total Nacional;09 Cataluña;08 Barcelona;08135 Montmeló;Viviendas totales;3.549
Total Nacional;09 Cataluña;08 Barcelona;08136 Montornès del Vallès;Viviendas totales;6.687
Total Nacional;09 Cataluña;08 Barcelona;08138 Moià;Viviendas totales;3.307
Total Nacional;09 Cataluña;08 Barcelona;08140 Navarcles;Viviendas totales;2.791
Total Nacional;09 Cataluña;08 Barcelona;08141 Navàs;Viviendas totales;3.092
Total Nacional;09 Cataluña;08 Barcelona;08143 Òdena;Viviendas totales;1.730
Total Nacional;09 Cataluña;08 Barcelona;08145 Olèrdola;Viviendas totales;1.791
Total Nacional;09 Cataluña;08 Barcelona;08146 Olesa de Bonesvalls;Viviendas totales;1.137
Total Nacional;09 Cataluña;08 Barcelona;08147 Olesa de Montserrat;Viviendas totales;10.178
Total Nacional;09 Cataluña;08 Barcelona;08148 Olivella;Viviendas totales;2.262
Total Nacional;09 Cataluña;08 Barcelona;08149 Olost;Viviendas totales;631
Total Nacional;09 Cataluña;08 Barcelona;08155 Palafolls;Viviendas totales;4.433
Total Nacional;09 Cataluña;08 Barcelona;08156 Palau-solità i Plegamans;Viviendas totales;5.727
Total Nacional;09 Cataluña;08 Barcelona;08157 Pallejà;Viviendas totales;4.650
Total Nacional;09 Cataluña;08 Barcelona;08158 Papiol, El;Viviendas totales;1.771
Total Nacional;09 Cataluña;08 Barcelona;08159 Parets del Vallès;Viviendas totales;7.560
Total Nacional;09 Cataluña;08 Barcelona;08161 Piera;Viviendas totales;8.667
Total Nacional;09 Cataluña;08 Barcelona;08162 Hostalets de Pierola, Els;Viviendas totales;1.669
Total Nacional;09 Cataluña;08 Barcelona;08163 Pineda de Mar;Viviendas totales;16.297
Total Nacional;09 Cataluña;08 Barcelona;08164 Pla del Penedès, El;Viviendas totales;730
Total Nacional;09 Cataluña;08 Barcelona;08165 Pobla de Claramunt, La;Viviendas totales;1.059
Total Nacional;09 Cataluña;08 Barcelona;08166 Pobla de Lillet, La;Viviendas totales;989
Total Nacional;09 Cataluña;08 Barcelona;08167 Polinyà;Viviendas totales;3.191
Total Nacional;09 Cataluña;08 Barcelona;08169 Prat de Llobregat, El;Viviendas totales;26.518
Total Nacional;09 Cataluña;08 Barcelona;08171 Prats de Lluçanès;Viviendas totales;1.389
Total Nacional;09 Cataluña;08 Barcelona;08172 Premià de Mar;Viviendas totales;12.313
Total Nacional;09 Cataluña;08 Barcelona;08175 Puig-reig;Viviendas totales;2.376
Total Nacional;09 Cataluña;08 Barcelona;08180 Ripollet;Viviendas totales;15.427
Total Nacional;09 Cataluña;08 Barcelona;08181 Roca del Vallès, La;Viviendas totales;4.515
Total Nacional;09 Cataluña;08 Barcelona;08182 Pont de Vilomara i Rocafort, El;Viviendas totales;1.951
Total Nacional;09 Cataluña;08 Barcelona;08183 Roda de Ter;Viviendas totales;2.819
Total Nacional;09 Cataluña;08 Barcelona;08184 Rubí;Viviendas totales;32.476
Total Nacional;09 Cataluña;08 Barcelona;08187 Sabadell;Viviendas totales;92.772
Total Nacional;09 Cataluña;08 Barcelona;08191 Sallent;Viviendas totales;3.473
Total Nacional;09 Cataluña;08 Barcelona;08192 Santpedor;Viviendas totales;3.282
Total Nacional;09 Cataluña;08 Barcelona;08193 Sant Iscle de Vallalta;Viviendas totales;763
Total Nacional;09 Cataluña;08 Barcelona;08194 Sant Adrià de Besòs;Viviendas totales;14.877
Total Nacional;09 Cataluña;08 Barcelona;08196 Sant Andreu de la Barca;Viviendas totales;10.536
Total Nacional;09 Cataluña;08 Barcelona;08197 Sant Andreu de Llavaneres;Viviendas totales;5.561
Total Nacional;09 Cataluña;08 Barcelona;08198 Sant Antoni de Vilamajor;Viviendas totales;2.996
Total Nacional;09 Cataluña;08 Barcelona;08200 Sant Boi de Llobregat;Viviendas totales;33.904
Total Nacional;09 Cataluña;08 Barcelona;08202 Sant Celoni;Viviendas totales;7.946
Total Nacional;09 Cataluña;08 Barcelona;08203 Sant Cebrià de Vallalta;Viviendas totales;2.166
Total Nacional;09 Cataluña;08 Barcelona;08204 Sant Climent de Llobregat;Viviendas totales;1.626
Total Nacional;09 Cataluña;08 Barcelona;08205 Sant Cugat del Vallès;Viviendas totales;35.770
Total Nacional;09 Cataluña;08 Barcelona;08206 Sant Cugat Sesgarrigues;Viviendas totales;421
Total Nacional;09 Cataluña;08 Barcelona;08207 Sant Esteve de Palautordera;Viviendas totales;1.276
Total Nacional;09 Cataluña;08 Barcelona;08208 Sant Esteve Sesrovires;Viviendas totales;3.435
Total Nacional;09 Cataluña;08 Barcelona;08209 Sant Fost de Campsentelles;Viviendas totales;3.427
Total Nacional;09 Cataluña;08 Barcelona;08210 Sant Feliu de Codines;Viviendas totales;3.272
Total Nacional;09 Cataluña;08 Barcelona;08211 Sant Feliu de Llobregat;Viviendas totales;18.719
Total Nacional;09 Cataluña;08 Barcelona;08213 Sant Fruitós de Bages;Viviendas totales;3.876
Total Nacional;09 Cataluña;08 Barcelona;08214 Vilassar de Dalt;Viviendas totales;4.058
Total Nacional;09 Cataluña;08 Barcelona;08215 Sant Hipòlit de Voltregà;Viviendas totales;1.739
Total Nacional;09 Cataluña;08 Barcelona;08217 Sant Joan Despí;Viviendas totales;13.577
Total Nacional;09 Cataluña;08 Barcelona;08218 Sant Joan de Vilatorrada;Viviendas totales;4.505
Total Nacional;09 Cataluña;08 Barcelona;08219 Vilassar de Mar;Viviendas totales;10.186
Total Nacional;09 Cataluña;08 Barcelona;08220 Sant Julià de Vilatorta;Viviendas totales;1.392
Total Nacional;09 Cataluña;08 Barcelona;08221 Sant Just Desvern;Viviendas totales;7.958
Total Nacional;09 Cataluña;08 Barcelona;08222 Sant Llorenç d'Hortons;Viviendas totales;1.228
Total Nacional;09 Cataluña;08 Barcelona;08223 Sant Llorenç Savall;Viviendas totales;1.366
Total Nacional;09 Cataluña;08 Barcelona;08224 Sant Martí de Centelles;Viviendas totales;618
Total Nacional;09 Cataluña;08 Barcelona;08226 Sant Martí de Tous;Viviendas totales;595
Total Nacional;09 Cataluña;08 Barcelona;08227 Sant Martí Sarroca;Viviendas totales;1.673
Total Nacional;09 Cataluña;08 Barcelona;08230 Premià de Dalt;Viviendas totales;4.240
Total Nacional;09 Cataluña;08 Barcelona;08231 Sant Pere de Ribes;Viviendas totales;14.150
Total Nacional;09 Cataluña;08 Barcelona;08232 Sant Pere de Riudebitlles;Viviendas totales;1.185
Total Nacional;09 Cataluña;08 Barcelona;08233 Sant Pere de Torelló;Viviendas totales;1.172
Total Nacional;09 Cataluña;08 Barcelona;08234 Sant Pere de Vilamajor;Viviendas totales;2.402
Total Nacional;09 Cataluña;08 Barcelona;08235 Sant Pol de Mar;Viviendas totales;3.884
Total Nacional;09 Cataluña;08 Barcelona;08236 Sant Quintí de Mediona;Viviendas totales;1.233
Total Nacional;09 Cataluña;08 Barcelona;08237 Sant Quirze de Besora;Viviendas totales;1.103
Total Nacional;09 Cataluña;08 Barcelona;08238 Sant Quirze del Vallès;Viviendas totales;7.609
Total Nacional;09 Cataluña;08 Barcelona;08240 Sant Sadurní d'Anoia;Viviendas totales;5.636
Total Nacional;09 Cataluña;08 Barcelona;08244 Santa Coloma de Cervelló;Viviendas totales;3.071
Total Nacional;09 Cataluña;08 Barcelona;08245 Santa Coloma de Gramenet;Viviendas totales;48.100
Total Nacional;09 Cataluña;08 Barcelona;08246 Santa Eugènia de Berga;Viviendas totales;964
Total Nacional;09 Cataluña;08 Barcelona;08247 Santa Eulàlia de Riuprimer;Viviendas totales;565
Total Nacional;09 Cataluña;08 Barcelona;08248 Santa Eulàlia de Ronçana;Viviendas totales;3.218
Total Nacional;09 Cataluña;08 Barcelona;08250 Santa Margarida de Montbui;Viviendas totales;4.473
Total Nacional;09 Cataluña;08 Barcelona;08251 Santa Margarida i els Monjos;Viviendas totales;3.231
Total Nacional;09 Cataluña;08 Barcelona;08252 Barberà del Vallès;Viviendas totales;13.768
Total Nacional;09 Cataluña;08 Barcelona;08254 Esquirol, L';Viviendas totales;1.220
Total Nacional;09 Cataluña;08 Barcelona;08258 Santa Maria d'Oló;Viviendas totales;693
Total Nacional;09 Cataluña;08 Barcelona;08259 Santa Maria de Palautordera;Viviendas totales;4.216
Total Nacional;09 Cataluña;08 Barcelona;08260 Santa Perpètua de Mogoda;Viviendas totales;10.045
Total Nacional;09 Cataluña;08 Barcelona;08261 Santa Susanna;Viviendas totales;2.225
Total Nacional;09 Cataluña;08 Barcelona;08262 Sant Vicenç de Castellet;Viviendas totales;4.424
Total Nacional;09 Cataluña;08 Barcelona;08263 Sant Vicenç dels Horts;Viviendas totales;11.530
Total Nacional;09 Cataluña;08 Barcelona;08264 Sant Vicenç de Montalt;Viviendas totales;3.612
Total Nacional;09 Cataluña;08 Barcelona;08265 Sant Vicenç de Torelló;Viviendas totales;939
Total Nacional;09 Cataluña;08 Barcelona;08266 Cerdanyola del Vallès;Viviendas totales;23.858
Total Nacional;09 Cataluña;08 Barcelona;08267 Sentmenat;Viviendas totales;3.990
Total Nacional;09 Cataluña;08 Barcelona;08268 Cercs;Viviendas totales;1.095
Total Nacional;09 Cataluña;08 Barcelona;08269 Seva;Viviendas totales;1.912
Total Nacional;09 Cataluña;08 Barcelona;08270 Sitges;Viviendas totales;19.230
Total Nacional;09 Cataluña;08 Barcelona;08273 Subirats;Viviendas totales;1.680
Total Nacional;09 Cataluña;08 Barcelona;08274 Súria;Viviendas totales;2.905
Total Nacional;09 Cataluña;08 Barcelona;08278 Taradell;Viviendas totales;2.948
Total Nacional;09 Cataluña;08 Barcelona;08279 Terrassa;Viviendas totales;101.134
Total Nacional;09 Cataluña;08 Barcelona;08281 Teià;Viviendas totales;2.693
Total Nacional;09 Cataluña;08 Barcelona;08282 Tiana;Viviendas totales;3.436
Total Nacional;09 Cataluña;08 Barcelona;08283 Tona;Viviendas totales;3.605
Total Nacional;09 Cataluña;08 Barcelona;08284 Tordera;Viviendas totales;9.628
Total Nacional;09 Cataluña;08 Barcelona;08285 Torelló;Viviendas totales;6.587
Total Nacional;09 Cataluña;08 Barcelona;08286 Torre de Claramunt, La;Viviendas totales;2.277
Total Nacional;09 Cataluña;08 Barcelona;08287 Torrelavit;Viviendas totales;739
Total Nacional;09 Cataluña;08 Barcelona;08288 Torrelles de Foix;Viviendas totales;1.838
Total Nacional;09 Cataluña;08 Barcelona;08289 Torrelles de Llobregat;Viviendas totales;2.593
Total Nacional;09 Cataluña;08 Barcelona;08290 Ullastrell;Viviendas totales;820
Total Nacional;09 Cataluña;08 Barcelona;08291 Vacarisses;Viviendas totales;3.707
Total Nacional;09 Cataluña;08 Barcelona;08292 Vallbona d'Anoia;Viviendas totales;670
Total Nacional;09 Cataluña;08 Barcelona;08294 Vallgorguina;Viviendas totales;1.640
Total Nacional;09 Cataluña;08 Barcelona;08295 Vallirana;Viviendas totales;6.949
Total Nacional;09 Cataluña;08 Barcelona;08296 Vallromanes;Viviendas totales;1.157
Total Nacional;09 Cataluña;08 Barcelona;08298 Vic;Viviendas totales;19.836
Total Nacional;09 Cataluña;08 Barcelona;08300 Viladecavalls;Viviendas totales;2.966
Total Nacional;09 Cataluña;08 Barcelona;08301 Viladecans;Viviendas totales;26.586
Total Nacional;09 Cataluña;08 Barcelona;08302 Vilanova del Camí;Viviendas totales;5.339
Total Nacional;09 Cataluña;08 Barcelona;08304 Vilobí del Penedès;Viviendas totales;492
Total Nacional;09 Cataluña;08 Barcelona;08305 Vilafranca del Penedès;Viviendas totales;18.264
Total Nacional;09 Cataluña;08 Barcelona;08307 Vilanova i la Geltrú;Viviendas totales;33.155
Total Nacional;09 Cataluña;08 Barcelona;08902 Vilanova del Vallès;Viviendas totales;2.277
Total Nacional;09 Cataluña;08 Barcelona;08904 Badia del Vallès;Viviendas totales;5.447
Total Nacional;09 Cataluña;08 Barcelona;08905 Palma de Cervelló, La;Viviendas totales;1.288
Total Nacional;09 Cataluña;08 Barcelona;08999 Resto de Barcelona;Viviendas totales;21.760
Total Nacional;09 Cataluña;17 Girona;;Viviendas totales;507.421
Total Nacional;09 Cataluña;17 Girona;17006 Alp;Viviendas totales;3.418
Total Nacional;09 Cataluña;17 Girona;17007 Amer;Viviendas totales;1.385
Total Nacional;09 Cataluña;17 Girona;17008 Anglès;Viviendas totales;2.737
Total Nacional;09 Cataluña;17 Girona;17009 Arbúcies;Viviendas totales;3.332
Total Nacional;09 Cataluña;17 Girona;17012 Avinyonet de Puigventós;Viviendas totales;625
Total Nacional;09 Cataluña;17 Girona;17013 Begur;Viviendas totales;5.620
Total Nacional;09 Cataluña;17 Girona;17015 Banyoles;Viviendas totales;9.064
Total Nacional;09 Cataluña;17 Girona;17016 Bàscara;Viviendas totales;549
Total Nacional;09 Cataluña;17 Girona;17019 Besalú;Viviendas totales;1.221
Total Nacional;09 Cataluña;17 Girona;17020 Bescanó;Viviendas totales;2.150
Total Nacional;09 Cataluña;17 Girona;17022 Bisbal d'Empordà, La;Viviendas totales;5.102
Total Nacional;09 Cataluña;17 Girona;17023 Blanes;Viviendas totales;25.589
Total Nacional;09 Cataluña;17 Girona;17025 Bordils;Viviendas totales;742
Total Nacional;09 Cataluña;17 Girona;17027 Breda;Viviendas totales;1.827
Total Nacional;09 Cataluña;17 Girona;17032 Cadaqués;Viviendas totales;3.598
Total Nacional;09 Cataluña;17 Girona;17033 Caldes de Malavella;Viviendas totales;4.175
Total Nacional;09 Cataluña;17 Girona;17034 Calonge i Sant Antoni;Viviendas totales;14.112
Total Nacional;09 Cataluña;17 Girona;17036 Campdevànol;Viviendas totales;1.632
Total Nacional;09 Cataluña;17 Girona;17039 Camprodon;Viviendas totales;2.713
Total Nacional;09 Cataluña;17 Girona;17044 Cassà de la Selva;Viviendas totales;4.709
Total Nacional;09 Cataluña;17 Girona;17047 Castelló d'Empúries;Viviendas totales;16.363
Total Nacional;09 Cataluña;17 Girona;17048 Castell-Platja d'Aro;Viviendas totales;15.712
Total Nacional;09 Cataluña;17 Girona;17049 Celrà;Viviendas totales;2.161
Total Nacional;09 Cataluña;17 Girona;17056 Cornellà del Terri;Viviendas totales;1.047
Total Nacional;09 Cataluña;17 Girona;17057 Corçà;Viviendas totales;709
Total Nacional;09 Cataluña;17 Girona;17062 Escala, L';Viviendas totales;15.146
Total Nacional;09 Cataluña;17 Girona;17066 Figueres;Viviendas totales;21.062
Total Nacional;09 Cataluña;17 Girona;17067 Flaçà;Viviendas totales;532
Total Nacional;09 Cataluña;17 Girona;17071 Fontcoberta;Viviendas totales;565
Total Nacional;09 Cataluña;17 Girona;17073 Fornells de la Selva;Viviendas totales;982
Total Nacional;09 Cataluña;17 Girona;17079 Girona;Viviendas totales;50.333
Total Nacional;09 Cataluña;17 Girona;17083 Hostalric;Viviendas totales;1.987
Total Nacional;09 Cataluña;17 Girona;17086 Jonquera, La;Viviendas totales;1.469
Total Nacional;09 Cataluña;17 Girona;17089 Llagostera;Viviendas totales;4.481
Total Nacional;09 Cataluña;17 Girona;17092 Llançà;Viviendas totales;8.246
Total Nacional;09 Cataluña;17 Girona;17093 Llers;Viviendas totales;550
Total Nacional;09 Cataluña;17 Girona;17094 Llívia;Viviendas totales;2.380
Total Nacional;09 Cataluña;17 Girona;17095 Lloret de Mar;Viviendas totales;25.496
Total Nacional;09 Cataluña;17 Girona;17103 Maçanet de la Selva;Viviendas totales;4.571
Total Nacional;09 Cataluña;17 Girona;17110 Mont-ras;Viviendas totales;807
Total Nacional;09 Cataluña;17 Girona;17111 Navata;Viviendas totales;858
Total Nacional;09 Cataluña;17 Girona;17114 Olot;Viviendas totales;16.713
Total Nacional;09 Cataluña;17 Girona;17117 Palafrugell;Viviendas totales;17.675
Total Nacional;09 Cataluña;17 Girona;17118 Palamós;Viviendas totales;13.007
Total Nacional;09 Cataluña;17 Girona;17120 Palau-saverdera;Viviendas totales;936
Total Nacional;09 Cataluña;17 Girona;17124 Pals;Viviendas totales;3.989
Total Nacional;09 Cataluña;17 Girona;17132 Peralada;Viviendas totales;1.125
Total Nacional;09 Cataluña;17 Girona;17133 Planes d'Hostoles, Les;Viviendas totales;963
Total Nacional;09 Cataluña;17 Girona;17137 Porqueres;Viviendas totales;1.835
Total Nacional;09 Cataluña;17 Girona;17138 Portbou;Viviendas totales;1.091
Total Nacional;09 Cataluña;17 Girona;17139 Preses, Les;Viviendas totales;767
Total Nacional;09 Cataluña;17 Girona;17140 Port de la Selva, El;Viviendas totales;2.497
Total Nacional;09 Cataluña;17 Girona;17141 Puigcerdà;Viviendas totales;5.989
Total Nacional;09 Cataluña;17 Girona;17142 Quart;Viviendas totales;1.499
Total Nacional;09 Cataluña;17 Girona;17145 Ribes de Freser;Viviendas totales;1.647
Total Nacional;09 Cataluña;17 Girona;17146 Riells i Viabrea;Viviendas totales;2.383
Total Nacional;09 Cataluña;17 Girona;17147 Ripoll;Viviendas totales;5.665
Total Nacional;09 Cataluña;17 Girona;17148 Riudarenes;Viviendas totales;1.443
Total Nacional;09 Cataluña;17 Girona;17150 Riudellots de la Selva;Viviendas totales;843
Total Nacional;09 Cataluña;17 Girona;17152 Roses;Viviendas totales;24.743
Total Nacional;09 Cataluña;17 Girona;17155 Salt;Viviendas totales;11.642
Total Nacional;09 Cataluña;17 Girona;17160 Sant Feliu de Guíxols;Viviendas totales;15.908
Total Nacional;09 Cataluña;17 Girona;17161 Sant Feliu de Pallerols;Viviendas totales;803
Total Nacional;09 Cataluña;17 Girona;17163 Sant Gregori;Viviendas totales;1.506
Total Nacional;09 Cataluña;17 Girona;17164 Sant Hilari Sacalm;Viviendas totales;3.048
Total Nacional;09 Cataluña;17 Girona;17167 Sant Joan de les Abadesses;Viviendas totales;2.021
Total Nacional;09 Cataluña;17 Girona;17169 Sant Julià de Ramis;Viviendas totales;1.387
Total Nacional;09 Cataluña;17 Girona;17178 Sant Pere Pescador;Viviendas totales;1.640
Total Nacional;09 Cataluña;17 Girona;17180 Santa Coloma de Farners;Viviendas totales;5.995
Total Nacional;09 Cataluña;17 Girona;17181 Santa Cristina d'Aro;Viviendas totales;3.914
Total Nacional;09 Cataluña;17 Girona;17184 Santa Pau;Viviendas totales;826
Total Nacional;09 Cataluña;17 Girona;17185 Sant Joan les Fonts;Viviendas totales;1.426
Total Nacional;09 Cataluña;17 Girona;17186 Sarrià de Ter;Viviendas totales;2.178
Total Nacional;09 Cataluña;17 Girona;17189 Cellera de Ter, La;Viviendas totales;940
Total Nacional;09 Cataluña;17 Girona;17190 Serinyà;Viviendas totales;520
Total Nacional;09 Cataluña;17 Girona;17193 Sils;Viviendas totales;3.099
Total Nacional;09 Cataluña;17 Girona;17199 Torroella de Montgrí;Viviendas totales;11.730
Total Nacional;09 Cataluña;17 Girona;17202 Tossa de Mar;Viviendas totales;7.105
Total Nacional;09 Cataluña;17 Girona;17204 Ullà;Viviendas totales;525
Total Nacional;09 Cataluña;17 Girona;17207 Vall d'en Bas, La;Viviendas totales;1.585
Total Nacional;09 Cataluña;17 Girona;17208 Vall de Bianya, La;Viviendas totales;644
Total Nacional;09 Cataluña;17 Girona;17211 Verges;Viviendas totales;639
Total Nacional;09 Cataluña;17 Girona;17213 Vidreres;Viviendas totales;4.348
Total Nacional;09 Cataluña;17 Girona;17215 Vilablareix;Viviendas totales;1.180
Total Nacional;09 Cataluña;17 Girona;17220 Viladrau;Viviendas totales;987
Total Nacional;09 Cataluña;17 Girona;17221 Vilafant;Viviendas totales;2.014
Total Nacional;09 Cataluña;17 Girona;17223 Vilajuïga;Viviendas totales;573
Total Nacional;09 Cataluña;17 Girona;17226 Vilamalla;Viviendas totales;453
Total Nacional;09 Cataluña;17 Girona;17233 Vilobí d'Onyar;Viviendas totales;1.346
Total Nacional;09 Cataluña;17 Girona;17901 Cruïlles, Monells i Sant Sadurní de l'Heura;Viviendas totales;782
Total Nacional;09 Cataluña;17 Girona;17902 Forallac;Viviendas totales;1.052
Total Nacional;09 Cataluña;17 Girona;17903 Sant Julià del Llor i Bonmatí;Viviendas totales;615
Total Nacional;09 Cataluña;17 Girona;17999 Resto de Girona;Viviendas totales;40.423
Total Nacional;09 Cataluña;25 Lleida;;Viviendas totales;256.081
Total Nacional;09 Cataluña;25 Lleida;25003 Agramunt;Viviendas totales;2.745
Total Nacional;09 Cataluña;25 Lleida;25007 Albatàrrec;Viviendas totales;909
Total Nacional;09 Cataluña;25 Lleida;25008 Albesa;Viviendas totales;777
Total Nacional;09 Cataluña;25 Lleida;25011 Alcarràs;Viviendas totales;4.790
Total Nacional;09 Cataluña;25 Lleida;25012 Alcoletge;Viviendas totales;1.671
Total Nacional;09 Cataluña;25 Lleida;25013 Alfarràs;Viviendas totales;1.602
Total Nacional;09 Cataluña;25 Lleida;25016 Alguaire;Viviendas totales;1.612
Total Nacional;09 Cataluña;25 Lleida;25019 Almacelles;Viviendas totales;3.499
Total Nacional;09 Cataluña;25 Lleida;25021 Almenar;Viviendas totales;1.887
Total Nacional;09 Cataluña;25 Lleida;25023 Alpicat;Viviendas totales;2.665
Total Nacional;09 Cataluña;25 Lleida;25025 Naut Aran;Viviendas totales;4.760
Total Nacional;09 Cataluña;25 Lleida;25027 Anglesola;Viviendas totales;703
Total Nacional;09 Cataluña;25 Lleida;25029 Arbeca;Viviendas totales;1.564
Total Nacional;09 Cataluña;25 Lleida;25033 Artesa de Lleida;Viviendas totales;672
Total Nacional;09 Cataluña;25 Lleida;25034 Artesa de Segre;Viviendas totales;2.284
Total Nacional;09 Cataluña;25 Lleida;25038 Aitona;Viviendas totales;1.218
Total Nacional;09 Cataluña;25 Lleida;25040 Balaguer;Viviendas totales;8.855
Total Nacional;09 Cataluña;25 Lleida;25043 Vall de Boí, La;Viviendas totales;1.910
Total Nacional;09 Cataluña;25 Lleida;25047 Bellcaire d'Urgell;Viviendas totales;707
Total Nacional;09 Cataluña;25 Lleida;25048 Bell-lloc d'Urgell;Viviendas totales;1.086
Total Nacional;09 Cataluña;25 Lleida;25050 Bellpuig;Viviendas totales;2.641
Total Nacional;09 Cataluña;25 Lleida;25051 Bellver de Cerdanya;Viviendas totales;2.504
Total Nacional;09 Cataluña;25 Lleida;25052 Bellvís;Viviendas totales;1.244
Total Nacional;09 Cataluña;25 Lleida;25053 Benavent de Segrià;Viviendas totales;633
Total Nacional;09 Cataluña;25 Lleida;25058 Borges Blanques, Les;Viviendas totales;3.287
Total Nacional;09 Cataluña;25 Lleida;25059 Bossòst;Viviendas totales;766
Total Nacional;09 Cataluña;25 Lleida;25072 Cervera;Viviendas totales;4.669
Total Nacional;09 Cataluña;25 Lleida;25078 Corbins;Viviendas totales;655
Total Nacional;09 Cataluña;25 Lleida;25096 Fuliola, La;Viviendas totales;602
