CDIS,consumo_p10_kwh,consumo_p25_kwh,consumo_p50_kwh,consumo_p75_kwh,consumo_p90_kwh,ratio_p10_p50,ratio_p25_p50,ratio_p90_p50,rango_p10_p90,gap_bajo_consumo_pct,airbnb_listings,airbnb_entire_homes,CMUN,NMUN,viviendas_totales,airbnb_per_1000_viv
0701106,542.0,1128.0,2569.0,424.0,6523.0,0.21097703386531724,0.43908135461268977,2.5391202802646946,5981.0,78.90229661346828,44.0,28.0,07011,Calvià,36492,1.2057437246519787
0701201,955.0,2072.0,365.0,5564.0,7589.0,2.6164383561643834,5.676712328767123,20.791780821917808,6634.0,-161.64383561643834,97.0,93.0,07012,Campanet,1911,50.758765044479325
0701202,854.0,1763.0,3357.0,5164.0,7544.0,0.25439380399165923,0.5251712838844206,2.247244563598451,6690.0,74.56061960083407,48.0,48.0,07012,Campanet,1911,25.11773940345369
0701401,576.0,1246.0,2579.0,4384.0,6736.0,0.22334238076773943,0.4831329972857697,2.611865063978286,6160.0,77.66576192322606,518.0,473.0,07014,Capdepera,9119,56.80447417479987
0701501,559.0,1202.0,2525.0,4059.0,6005.0,0.2213861386138614,0.476039603960396,2.378217821782178,5446.0,77.86138613861387,553.0,522.0,07015,Ciutadella de Menorca,17887,30.916307933135798
0701502,823.0,1729.0,2987.0,4292.0,5772.0,0.2755272849012387,0.5788416471375962,1.9323736190157348,4949.0,72.44727150987613,76.0,74.0,07015,Ciutadella de Menorca,17887,4.248895846145245
0701503,863.0,1686.0,2976.0,4399.0,5957.0,0.28998655913978494,0.5665322580645161,2.0016801075268815,5094.0,71.0013440860215,31.0,16.0,07015,Ciutadella de Menorca,17887,1.7331022530329288
0701504,539.0,1143.0,2445.0,4204.0,6227.0,0.22044989775051124,0.46748466257668714,2.5468302658486706,5688.0,77.95501022494888,726.0,720.0,07015,Ciutadella de Menorca,17887,40.58813663554537
0701601,991.0,2122.0,3426.0,5043.0,6856.0,0.28925861062463515,0.6193812025685931,2.0011675423234094,5865.0,71.07413893753649,16.0,16.0,07016,Consell,2117,7.557864903164856
0701701,925.0,1757.0,3132.0,5002.0,7282.0,0.295338441890166,0.5609833971902938,2.3250319284802043,6357.0,70.4661558109834,60.0,58.0,07017,Costitx,1306,45.94180704441042
0702001,1128.0,2249.0,3708.0,5597.0,812.0,0.3042071197411003,0.6065264293419633,0.21898597626752966,-316.0,69.57928802588998,55.0,40.0,07020,Esporles,2553,21.54328241284763
0702201,1053.0,1972.0,3222.0,4706.0,6549.0,0.3268156424581006,0.612042209807573,2.032588454376164,5496.0,67.31843575418995,83.0,80.0,07022,Felanitx,13611,6.098008963338476
0702202,794.0,1637.0,2907.0,4462.0,6432.0,0.2731338149294806,0.56312349501204,2.212590299277606,5638.0,72.68661850705193,41.0,41.0,07022,Felanitx,13611,3.012269487914187
0702203,1137.0,2035.0,3283.0,4612.0,6524.0,0.3463295766067621,0.6198598842522084,1.9872068230277184,5387.0,65.36704233932379,76.0,69.0,07022,Felanitx,13611,5.583719050767762
0702204,593.0,1184.0,2634.0,4523.0,6902.0,0.22513287775246774,0.4495064540622627,2.6203492786636295,6309.0,77.48671222475323,489.0,478.0,07022,Felanitx,13611,35.92682389243994
0702301,913.0,1896.0,321.0,4714.0,6465.0,2.844236760124611,5.906542056074766,20.14018691588785,5552.0,-184.42367601246107,79.0,67.0,07023,Ferreries,2369,33.34740396791895
0702401,783.0,1595.0,3464.0,6073.0,9376.0,0.2260392609699769,0.46045034642032334,2.7066974595842956,8593.0,77.39607390300232,0.0,0.0,07024,Formentera,6969,0.0
0702402,475.0,871.0,2185.0,4749.0,8603.0,0.21739130434782608,0.39862700228832953,3.937299771167048,8128.0,78.26086956521739,0.0,0.0,07024,Formentera,6969,0.0
0702403,574.0,1112.0,3038.0,5967.0,10021.0,0.1889400921658986,0.36603028308097435,3.2985516787360107,9447.0,81.10599078341014,0.0,0.0,07024,Formentera,6969,0.0
0702602,640.0,1202.0,2085.0,3447.0,5359.0,0.3069544364508393,0.5764988009592326,2.570263788968825,4719.0,69.30455635491607,0.0,0.0,07026,Eivissa,23938,0.0
0702603,950.0,1785.0,293.0,4426.0,63.0,3.242320819112628,6.092150170648464,0.2150170648464164,-887.0,-224.23208191126278,0.0,0.0,07026,Eivissa,23938,0.0
0702604,1118.0,1863.0,2941.0,4336.0,5984.0,0.3801428085685141,0.6334580074804488,2.0346820809248554,4866.0,61.985719143148586,0.0,0.0,07026,Eivissa,23938,0.0
0702701,1105.0,2021.0,3209.0,4648.0,6246.0,0.3443440324088501,0.6297912122156435,1.946400747896541,5141.0,65.565596759115,120.0,116.0,07027,Inca,15863,7.564773371997731
0702702,1231.0,2162.0,3343.0,4732.0,6294.0,0.36823212683218665,0.6467244989530362,1.8827400538438528,5063.0,63.176787316781336,70.0,69.0,07027,Inca,15863,4.412784466998676
0702703,1185.0,2104.0,3342.0,4755.0,6273.0,0.35457809694793535,0.6295631358467983,1.877019748653501,5088.0,64.54219030520647,35.0,30.0,07027,Inca,15863,2.206392233499338
0702801,896.0,1919.0,3305.0,5159.0,7138.0,0.27110438729198183,0.5806354009077156,2.1597579425113462,6242.0,72.88956127080182,41.0,41.0,07028,Lloret de Vistalegre,1093,37.51143641354071
0702901,1158.0,2018.0,3216.0,4823.0,6333.0,0.36007462686567165,0.6274875621890548,1.9692164179104477,5175.0,63.99253731343284,14.0,12.0,07029,Lloseta,3035,4.612850082372323
0702902,1049.0,2087.0,3327.0,4887.0,6692.0,0.3152990682296363,0.6272918545235948,2.0114217012323414,5643.0,68.47009317703636,36.0,34.0,07029,Lloseta,3035,11.86161449752883
0703001,812.0,1791.0,3406.0,5249.0,7272.0,0.2384028185554903,0.5258367586611862,2.1350557839107456,6460.0,76.15971814445098,55.0,55.0,07030,Llubí,1685,32.640949554896146
0703002,853.0,1836.0,3377.0,5169.0,7599.0,0.25259105715131774,0.5436778205507847,2.25022209061297,6746.0,74.74089428486823,43.0,37.0,07030,Llubí,1685,25.519287833827892
0703101,900.0,1827.0,3164.0,4781.0,6713.0,0.28445006321112515,0.577433628318584,2.1216814159292037,5813.0,71.55499367888748,81.0,73.0,07031,Llucmajor,23312,3.4746053534660257
0703102,1147.0,1963.0,2998.0,4274.0,6055.0,0.38258839226150765,0.6547698465643762,2.0196797865243497,4908.0,61.74116077384924,2.0,2.0,07031,Llucmajor,23312,0.08579272477693892
0703103,730.0,1419.0,2587.0,4074.0,5797.0,0.28218013142636256,0.5485117897178199,2.240819482025512,5067.0,71.78198685736375,67.0,55.0,07031,Llucmajor,23312,2.8740562800274536
0703104,931.0,1877.0,3181.0,4956.0,7202.0,0.2926752593524049,0.5900660169757938,2.264067903175102,6271.0,70.73247406475951,326.0,310.0,07031,Llucmajor,23312,13.984214138641043
0703105,1235.0,1864.0,2979.0,4096.0,5361.0,0.414568647197046,0.625713326619671,1.799597180261833,4126.0,58.5431352802954,2.0,1.0,07031,Llucmajor,23312,0.08579272477693892
0703201,802.0,1499.0,2643.0,4183.0,6057.0,0.3034430571320469,0.5671585319712448,2.2917139614074915,5255.0,69.65569428679531,18.0,13.0,07032,Maó-Mahón,15173,1.1863178013576747
0703202,936.0,1692.0,2689.0,4006.0,5456.0,0.34808478988471553,0.6292301970992934,2.0290070658237265,4520.0,65.19152101152845,4.0,4.0,07032,Maó-Mahón,15173,0.2636261780794833
0703203,1132.0,1949.0,3069.0,4582.0,6397.0,0.36884978820462694,0.6350602802215706,2.084392310198762,5265.0,63.11502117953731,63.0,54.0,07032,Maó-Mahón,15173,4.152112304751862
0703204,757.0,1479.0,2673.0,4138.0,5781.0,0.2832023943135054,0.55331088664422,2.1627384960718294,5024.0,71.67976056864947,2.0,2.0,07032,Maó-Mahón,15173,0.13181308903974165
0703205,647.0,12.0,258.0,4829.0,7813.0,2.507751937984496,0.046511627906976744,30.282945736434108,7166.0,-150.7751937984496,61.0,61.0,07032,Maó-Mahón,15173,4.02029921571212
0703301,856.0,1623.0,2788.0,4311.0,6374.0,0.30703012912482064,0.5821377331420373,2.2862266857962696,5518.0,69.29698708751793,122.0,118.0,07033,Manacor,28571,4.270064050960765
0703302,829.0,1669.0,2857.0,4436.0,638.0,0.2901645082254113,0.5841792089604481,0.2233111655582779,-191.0,70.98354917745887,94.0,90.0,07033,Manacor,28571,3.290049350740261
0703303,932.0,1819.0,3104.0,4692.0,6583.0,0.3002577319587629,0.5860180412371134,2.120811855670103,5651.0,69.9742268041237,120.0,111.0,07033,Manacor,28571,4.200063000945015
0703304,1041.0,1744.0,2849.0,4347.0,604.0,0.3653913653913654,0.6121446121446121,0.21200421200421202,-437.0,63.46086346086346,47.0,39.0,07033,Manacor,28571,1.6450246753701305
0703305,608.0,1217.0,2499.0,4202.0,6221.0,0.24329731892757103,0.48699479791916767,2.4893957583033215,5613.0,75.6702681072429,225.0,213.0,07033,Manacor,28571,7.875118126771903
0703306,500.0,956.0,2036.0,3764.0,5554.0,0.2455795677799607,0.46954813359528486,2.7278978388998034,5054.0,75.44204322200393,40.0,37.0,07033,Manacor,28571,1.4000210003150046
0703307,493.0,1023.0,2424.0,4616.0,7388.0,0.2033828382838284,0.422029702970297,3.047854785478548,6895.0,79.66171617161716,149.0,146.0,07033,Manacor,28571,5.215078226173392
0703401,1023.0,1919.0,3331.0,5151.0,6972.0,0.30711498048634045,0.5761032722906034,2.0930651456019214,5949.0,69.28850195136596,41.0,41.0,07034,Mancor de la Vall,919,44.613710554951034
0703601,1459.0,2505.0,3863.0,5755.0,8036.0,0.3776857364742428,0.6484597463111571,2.0802485115195446,6577.0,62.231426352575724,53.0,50.0,07036,Marratxí,15048,3.522062732589048
0703602,1542.0,2506.0,3714.0,5279.0,7282.0,0.41518578352180935,0.674744211093161,1.9606892837910608,5740.0,58.48142164781906,40.0,40.0,07036,Marratxí,15048,2.658160552897395
0703701,392.0,681.0,166.0,3477.0,5568.0,2.36144578313253,4.102409638554217,33.54216867469879,5176.0,-136.14457831325302,690.0,677.0,07037,"Mercadal, Es",7208,95.72697003329634
0703801,722.0,1766.0,3135.0,4827.0,6971.0,0.23030303030303031,0.563317384370016,2.223604465709729,6249.0,76.96969696969697,1.0,1.0,07038,Montuïri,2197,0.4551661356395084
0703802,742.0,1508.0,3023.0,4985.0,7441.0,0.24545153820707907,0.4988422097254383,2.4614621237181606,6699.0,75.45484617929209,43.0,35.0,07038,Montuïri,2197,19.572143832498863
0703901,712.0,1384.0,2826.0,4677.0,6841.0,0.2519462137296532,0.4897381457891012,2.420736022646851,6129.0,74.80537862703468,276.0,272.0,07039,Muro,5092,54.20267085624509
0703902,874.0,1778.0,3075.0,4736.0,6558.0,0.2842276422764228,0.5782113821138212,2.1326829268292684,5684.0,71.57723577235772,60.0,60.0,07039,Muro,5092,11.783189316575019
0704001,796.0,1428.0,2351.0,3722.0,5717.0,0.33857932794555506,0.6074011059123777,2.431731178222033,4921.0,66.14206720544449,269.0,230.0,07040,Palma,186482,1.4424984717023628
0704002,1001.0,1636.0,2567.0,3834.0,5528.0,0.3899493572263342,0.6373198285936892,2.153486560186989,4527.0,61.005064277366586,278.0,233.0,07040,Palma,186482,1.4907605023541146
