CUSEC,CUMUN,CSEC,CPRO,CCA,CUDIS,CLAU2,NPRO,NCA,CNUT0,CNUT1,CNUT2,CNUT3,NMUN,airbnb_listings,airbnb_entire_homes,airbnb_price_median,airbnb_accommodates_total,airbnb_revenue_total,airbnb_hosts_unicos,airbnb_con_licencia,viviendas_totales,consumo_p10_kwh,consumo_p25_kwh,consumo_p50_kwh,consumo_p75_kwh,consumo_p90_kwh,isla,fuente,granularidad,hut_registros,hut_plazas,hut_habitaciones,viviendas_vacias_pct_ccaa,viviendas_uso_esporadico_pct_ccaa,viviendas_turisticas_pct_ccaa_2025M05,plazas_turisticas,airbnb_listings_por_1000_viviendas
0701106002,07011,002,07,04,0701106,07011,"Balears, Illes",Illes Balears,ES,5,3,2,Calvià,12,12,384.0,72,302641,9,12,36492,542.0,1.128,2.569,4.24,6.523,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,72,0.3288391976323578
0701201001,07012,001,07,04,0701201,07012,"Balears, Illes",Illes Balears,ES,5,3,2,Campanet,97,93,408.5,574,1149112,58,97,1911,955.0,2.072,3.65,5.564,7.589,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,574,50.758765044479325
0701202001,07012,001,07,04,0701202,07012,"Balears, Illes",Illes Balears,ES,5,3,2,Campanet,48,48,446.0,305,439303,36,47,1911,854.0,1.763,3.357,5.164,7.544,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,305,25.11773940345369
0701301001,07013,001,07,04,0701301,07013,"Balears, Illes",Illes Balears,ES,5,3,2,Campos,3,3,542.8,18,88696,3,3,9148,0.0,0.0,0.0,0.0,0.0,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,18,0.32794053344993446
0701301002,07013,002,07,04,0701301,07013,"Balears, Illes",Illes Balears,ES,5,3,2,Campos,120,120,510.4,951,837967,67,119,9148,0.0,0.0,0.0,0.0,0.0,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,951,13.117621337997376
0701302001,07013,001,07,04,0701302,07013,"Balears, Illes",Illes Balears,ES,5,3,2,Campos,1,1,241.67,2,17400,1,1,9148,0.0,0.0,0.0,0.0,0.0,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,2,0.10931351114997814
0701302002,07013,002,07,04,0701302,07013,"Balears, Illes",Illes Balears,ES,5,3,2,Campos,371,368,415.625,2338,4891519,202,371,9148,0.0,0.0,0.0,0.0,0.0,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,2338,40.55531263664189
0701302003,07013,003,07,04,0701302,07013,"Balears, Illes",Illes Balears,ES,5,3,2,Campos,6,6,296.66499999999996,31,107537,6,6,9148,0.0,0.0,0.0,0.0,0.0,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,31,0.6558810668998689
0701401001,07014,001,07,04,0701401,07014,"Balears, Illes",Illes Balears,ES,5,3,2,Capdepera,196,183,365.8,991,1347972,89,196,9119,576.0,1.246,2.579,4.384,6.736,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,991,21.493584822897247
0701401002,07014,002,07,04,0701401,07014,"Balears, Illes",Illes Balears,ES,5,3,2,Capdepera,87,75,507.2,477,318551,51,87,9119,576.0,1.246,2.579,4.384,6.736,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,477,9.540519793837044
0701401003,07014,003,07,04,0701401,07014,"Balears, Illes",Illes Balears,ES,5,3,2,Capdepera,69,68,419.5,433,665375,55,69,9119,576.0,1.246,2.579,4.384,6.736,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,433,7.566619146836276
0701401004,07014,004,07,04,0701401,07014,"Balears, Illes",Illes Balears,ES,5,3,2,Capdepera,95,82,465.0,411,872420,46,94,9119,576.0,1.246,2.579,4.384,6.736,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,411,10.417808970281829
0701401005,07014,005,07,04,0701401,07014,"Balears, Illes",Illes Balears,ES,5,3,2,Capdepera,19,16,157.025,92,113573,16,19,9119,576.0,1.246,2.579,4.384,6.736,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,92,2.0835617940563655
0701401006,07014,006,07,04,0701401,07014,"Balears, Illes",Illes Balears,ES,5,3,2,Capdepera,52,49,245.5,232,387963,28,52,9119,576.0,1.246,2.579,4.384,6.736,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,232,5.7023796468911065
